,Job No,Arrival Time,Completion Time,No Jobs in System,No Jobs at Stage 1,No Jobs at Stage 2,No Jobs at Stage 3,Stage 1 Job Size,Stage 2 Job Size,Stage 3 Job Size,Job Time
416,417.0,16523.85273357318,16551.038621463314,2.0,1.0,1.0,0.0,1.0,1.0,1.0,27.185887890133017
417,418.0,16589.55091276705,16610.798652512356,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.247739745307626
418,419.0,16601.00932942696,16622.072062716255,1.0,0.0,1.0,0.0,1.0,1.0,1.0,21.062733289294556
419,420.0,16603.845577251646,16630.114126861026,2.0,1.0,0.0,1.0,1.0,1.0,1.0,26.26854960937999
420,421.0,16657.672095616483,16678.64412380792,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.972028191437857
421,422.0,16672.336876966972,16693.494161993567,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21.157285026594764
422,423.0,16689.057665780565,16709.850577730158,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.792911949592963
423,424.0,16700.399948658585,16721.590208450438,1.0,0.0,1.0,0.0,1.0,1.0,1.0,21.19025979185244
424,425.0,16714.09705912763,16735.25147362014,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21.154414492510114
425,426.0,16717.424903675983,16743.01539343986,2.0,1.0,0.0,1.0,1.0,1.0,1.0,25.590489763875667
426,427.0,16739.156554596906,16760.067633329287,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.9110787323807
427,428.0,16749.079382237447,16769.950988976158,1.0,0.0,1.0,0.0,1.0,1.0,1.0,20.871606738710398
428,429.0,16764.308985675732,16785.224271401174,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.91528572544121
429,430.0,16817.192446886,16838.494759364028,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.30231247802658
430,431.0,16853.26746314815,16873.927241020927,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.65977787277734
431,432.0,16908.082333692844,16929.38958455485,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.307250862006185
432,433.0,16933.422883467098,16954.849653928464,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.426770461366687
433,434.0,17018.29158220148,17039.293474076516,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.001891875035653
434,435.0,17041.001644964897,17061.418453622635,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.41680865773742
435,436.0,17091.51108588043,17112.645225455966,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.13413957553712
436,437.0,17131.950788836864,17152.75429169223,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.80350285536406
437,438.0,17162.75513360734,17183.72752394439,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.972390337050456
438,439.0,17264.320806328724,17285.454450600642,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.133644271918456
439,440.0,17328.669110112656,17349.102391119788,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.433281007131882
